reference,prediction
ugongwa wa kupinda shingo,
dalili ya ugonjwa wa miguu na midomo ni mnyama kutokwa na ute mrefu mdomoni,
hata hivyo maelfu ya watu waliojitokeza kumsikiliza rais wa chama chamisa  akizungumza inaonyesha hakuna shaka yoyote,
marais uhuru kenyata wa kenya yoweri museveni wa uganda na paul kagame wa rwanda,
jamii yetu imetawaliwa na fikra za kuwaabudu watu wenye pesa,
alisema jambo muhimu ni kuchukua msimamo thabiti na kuzuia manyanyaso dhidi ya raia,
wanyama wote wanaweza kuathiriwa na kititi,
na mwaka uliofuata wa elfu moja mia tisa sitini na saba,
wanajeshi wa kitengo cha anga marekani wamepelekwa upoland,a
matangazo kupitia mitambo ya sauti ya amerika mjini washington,
kuambukiza chakula cha wanyama kunakofanywa na wanyama wagonjwa,
ugonjwa wa mapele ya ngozi kwa ngombe hulipuka baada ya mvua nyingi,
juu ya mada kuanzia ndoa za watu wa jinsia moja hadi kuwahukumu waliopatikana na hatia ya kuwa na picha za ngono za watoto,
ramani mpya ya jumuiya ya afrika mashariki yazinduliwa,
wanyama huambukizwa ugonjwa wa kimeta kwenye malisho yenye bakteria wa ugonjwa,
amesema unathi binqose afisa wa serikali,
kuathirika kwa mnyama hali inapokuwa mbaya zaidi,
nchini jamhuri ya kidemokrasi ya kongo,
kwa wanyama waliokua ugonjwa wa miguu na midomo si hatari sana sababu wengi hupona,
hali hatari zinazochangia ugonjwa huu,a
mnyama kuvimba tezi chini ya shingo ni dalili ya ugonjwa wa mapafu,
benki hiyo kwa sasa inafanya utafiti wa awali kufahamu kuruhusiwa ama la kwa sarafu za kimtandao alisema andrew kaware mkurugenzi wa malipo ya taifa,
ni vyema mkulima kuvuna kwa wakti kuepuka fukuzi na viazi kuoza,
magonjwa yanayohusiana na uharibikaji wa mimba,
huwa hasa unaathiri wanyama wachache katika kundi na hupenda hasa maeneo ambayo hufurika maji,
disemba mwaka elfu mbili na ishirini wa kuwaondoa wanajeshi mia saba wa kikosi maalum,
kigali haijihusishi kwa namna yoyote na mashambulizi ya waasi hao,
mnamo mwezi januari biashara kati ya uganda na,
tuzo ya kimataifa ya wanawake mashujaa kwa kuonyesha ujasiri usio wa kawaida,
kikombe cha chai mbili gram hamsini cha unga wa soya,
kwa kutegemea unavyowalisha kuwatunza na ubora wa mbinu za kuyadhibiti maradhi,
